name,age,height,goal_keeper,central_defender,full_back,defensive_midfielder,wing_back,central_midfielder,wide_midfielder,attacking_midfielder,winger,striker,foot_right,foot_left,att_cor,att_cro,att_dri,att_fin,att_fir,att_fre,att_hea,att_lon,att_lth,att_mar,att_pas,att_pen,att_tck,att_tec,att_agg,att_ant,att_bra,att_cmp,att_cnt,att_dec,att_det,att_fla,att_ldr,att_otb,att_pos,att_tea,att_vis,att_wor,att_acc,att_agi,att_bal,att_jum,att_nat,att_pac,att_sta,att_str,att_aer,att_cmd,att_com,att_ecc,att_han,att_kic,att_1v1,att_pun,att_ref,att_tro,att_thr
Emerson Ribeiro,21,192,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,3,3,2,1,2,10,4,2,2,1,2,10,3,2,14,11,18,12,15,17,16,14,3,16,3,16,15,19,13,14,15,19,18,17,14,14,16,17,18,14,2,14,15,17,8,18,13,15
Fernando Hoyos,20,189,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,5,8,14,11,5,16,4,17,8,7,14,11,5,13,15,8,17,13,13,15,15,13,12,5,14,15,16,14,15,17,17,13,16,14,17,17,14,2,2,2,3,4,4,4,2,1,1,1
Ricardo Clavijo,21,183,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,4,6,7,9,8,10,4,15,4,8,14,14,6,13,13,15,15,17,14,15,16,16,10,13,13,15,12,13,17,12,18,18,14,14,14,14,15,3,2,2,1,2,2,3,3,2,3,2
Barnabas Udeh,21,199,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,5,6,8,9,12,13,9,11,10,6,14,15,8,16,15,15,15,12,12,16,14,17,10,8,13,15,11,13,10,15,16,15,19,16,13,16,14,3,2,2,3,3,1,3,2,1,3,1
Jonathan Rey,21,187,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,7,12,12,9,11,6,11,7,7,13,11,5,14,15,8,16,18,12,13,16,18,15,11,12,13,11,10,14,15,14,15,12,13,16,13,12,3,3,1,2,1,1,2,4,1,1,1
José Antonio,21,187,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,3,5,9,10,8,13,9,10,9,5,13,17,5,15,14,9,16,16,14,14,15,17,6,11,11,14,15,14,15,13,16,17,16,10,16,15,14,2,3,3,3,3,3,1,1,3,1,1
Olivier Sidibé,21,174,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,6,4,7,5,11,15,11,9,7,10,6,7,13,5,11,15,13,13,11,14,9,15,16,15,4,13,9,12,13,12,15,14,16,4,13,12,16,12,1,3,3,2,2,2,3,2,4,2,3
Iván Machín,21,179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,4,6,10,13,15,18,17,12,11,10,8,9,12,8,5,15,16,12,8,15,11,14,17,18,11,18,10,12,13,14,18,19,17,6,14,17,17,14,3,1,2,1,2,3,1,1,2,3,1
Dennis Holst,25,189,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,6,3,8,10,15,9,14,6,9,13,2,9,13,9,7,16,14,13,18,12,10,10,16,15,10,15,6,10,12,13,17,16,16,14,15,15,14,11,3,3,3,2,3,1,3,1,2,3,2
Tiberiu Apetrei,21,185,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,3,9,13,11,17,15,12,13,11,5,6,10,13,3,16,16,17,11,17,10,16,15,15,5,17,10,15,12,11,16,16,12,11,12,15,16,14,1,2,3,2,3,1,3,3,2,2,1
