training,att_001,att_002,att_003
aerial,att_hea,att_bra,#N/A
agility_and_balance,att_agi,att_bal,#N/A
attacking_movement,att_otb,att_ant,att_dec
ball_control,att_fir,att_dri,att_tec
corner_taking,att_cor,att_tec,#N/A
crossing,att_cro,att_tec,#N/A
defensive_positioning,att_mar,att_pos,att_dec
endurance,att_sta,att_wor,#N/A
final_third,att_cmp,att_dec,#N/A
free_kick_taking,att_fre,att_tec,#N/A
long_throws,att_lth,#N/A,#N/A
passing,att_vis,att_pas,att_tec
penalty_taking,att_pen,att_tec,#N/A
quickness,att_pac,att_acc,#N/A
shooting,att_fin,att_lon,att_tec
strength,att_str,att_jum,#N/A
gk_distribution_long,att_kic,att_thr,#N/A
gk_distribution_short,att_fir,att_pas,att_vis
gk_reactions,att_ref,att_ant,att_cnt
gk_sweeping,att_1v1,att_cmd,att_tro
gk_tactical,att_pos,att_com,att_dec
gk_technique,att_han,att_cmp,att_tec
